TF,TG,Score
PGR,TRIM63,51157.3
PGR,SYNPO2,51138.4
AR,TRIM63,45468
AR,SYNPO2,39464.8
PGR,ACTG2,37147.4
FOSB,LUM,32513.3
PGR,MFAP4,32259.2
AR,LUM,30727.8
AR,ACTG2,29687.8
AR,MFAP4,29337.1
PGR,PRELP,28615.3
AR,FKBP5,27596.4
AR,FBXO32,26594.9
PGR,FXYD6,26152
PGR,LUM,25971.7
AR,ADAM12,25168.1
FOSB,ABI3BP,24753.5
AR,EGR1,23661.2
PGR,FKBP5,23364
AR,OGN,23254.5
GATA6,SYNPO2,23224
AR,FXYD6,22812.7
AR,HOXA10,22429.5
GATA6,LUM,22274.6
PGR,OGN,22192.6
PGR,FBXO32,21829.6
PBX1,SYNPO2,21238.7
PGR,EGR1,21155.2
ATF3,FBXO32,20513.5
PGR,PCP4,19436.8
FOSB,THBS2,19409.9
AR,PRELP,19040.6
PGR,ADAM12,18870.1
FOSB,ADAM12,18560.2
MAF,SYNPO2,18430.1
GATA6,MGP,17435.4
MITF,PCP4,16809.5
FOS,LUM,16760.4
GATA6,ACTG2,16691.9
HOXA10,ACTG2,16406.3
AR,PCP4,16250.2
PGR,HOXA10,15869.8
IRF1,SYNPO2,15722.2
HOXA10,HOXA10,15687.5
GATA6,ADAM12,15241.4
PBX1,ACTG2,15036.9
EGR1,EGR1,14931.1
ATF3,ADAM12,14557.1
PGR,TCF21,14483.7
PGR,USP53,14104.6
GATA6,ESR1,13719.8
EGR1,FBXO32,13638.9
PGR,THBS2,13484.4
AR,KCNMB1,13175.6
AR,PALLD,13115.6
HOXA10,TRIM63,13071.9
FOSB,ESR1,12808.6
PGR,KCNMB1,12720.6
PGR,PALLD,12564.8
PGR,MRGPRF,12535.7
NFIA,PCP4,12521.4
PBX3,SYNPO2,12363.7
ATF3,ABI3BP,12256.3
AR,TCF21,12165.5
PGR,ESR1,12139.5
GATA6,ABI3BP,12139
ATF3,LUM,12084.8
FOS,ABI3BP,12062.6
FOS,THBS2,12026.9
EGR1,MFAP4,11985.7
AR,THBS2,11912
PBX3,ACTG2,11786.4
PGR,SUMO2,11602.8
GATA6,FXYD6,11537.2
PGR,DES,11481.1
AR,ESR1,11373.6
ATF3,FXYD6,11338.3
FOSB,MRGPRF,11323.9
ATF3,HOXA10,11204.7
GATA6,FBXO32,11160.4
EGR1,FXYD6,11152.5
FOSB,FOSB,11151.8
HOXA10,SYNPO2,11065.9
EGR1,ZNF428,11036.1
AR,SUMO2,11017.5
PBX1,ESR1,11003.3
AR,USP53,11002.1
EGR1,FKBP5,10999
JUN,LUM,10887.8
ATF3,DES,10705.6
PGR,HHATL,10201.4
FOS,ADAM12,10154.5
PGR,GPR143,10147.2
ATF3,HHATL,10057.9
GATA6,MFAP4,9802.05
ATF3,THBS2,9715.23
AR,GPR143,9601.84
MITF,HOXA10,9584.58
MEIS2,LUM,9582.04
JUN,THBS2,9559.94
FOSB,KCNMB1,9451.18
ATF3,EGR1,9423.08
AR,MRGPRF,9231.33
PGR,SORBS1,9208.33
EGR1,HHATL,9067.43
PGR,CALD1,8992.27
PGR,COL1A2,8954.54
AR,LMOD1,8949.48
PRRX1,LMOD1,8910.6
GATA6,KCNMB1,8899.47
PGR,COL1A1,8841.45
PGR,PCSK1N,8820.54
GATA6,LMOD1,8814.84
MITF,ACTG2,8798.47
TCF4,TRIM63,8759.22
AR,TIMP2,8712.9
AR,SSPN,8693.52
AR,FOSB,8679.09
GATA6,OGN,8678.58
MITF,TRIM63,8633.23
AR,COL5A2,8625.22
JUN,ABI3BP,8624.74
HOXD11,ACTG2,8607.91
ATF3,FKBP5,8591.46
AR,HHATL,8568.64
TCF4,FBXO32,8477.8
AR,PCSK1N,8453.01
PGR,TRAPPC1,8437.47
PGR,LMOD1,8397.94
AR,RAB20,8290.89
ATF3,ESR1,8275.64
PBX3,ESR1,8161.92
AR,CCNI,8154.37
PGR,COL6A2,8129.98
AR,CHODL,8125.84
AR,CALD1,8116.78
HOXA10,ABI3BP,8113.44
MEIS2,PCP4,8059.12
FOSB,TIMP2,7994.05
EGR1,SYNPO2,7936.96
PGR,JUN,7920.45
FOS,ESR1,7867.14
PGR,COL5A2,7805.97
MAF,TCF21,7743.41
ATF3,FOSB,7741.43
AR,SORBS1,7739.19
PGR,GLIPR2,7708.77
GATA6,CHODL,7701.63
PGR,ALDH1A2,7687.69
AR,ZNF428,7673.92
EGR1,CHODL,7664.12
AR,ALDH1A2,7609.36
PGR,CCNI,7572.58
HOXA10,PRELP,7493.29
EGR1,FOSB,7490.95
PRRX1,SYNPO2,7436.51
AR,TRAPPC1,7420.12
ATF3,JUN,7403.52
IRF1,KCNMB1,7403.4
IRF1,ACTG2,7397.73
EGR1,ESR1,7394.18
PGR,ASPN,7377.8
HOXA10,KCNMB1,7343.92
PBX1,HOXA10,7312.43
PGR,TIMP2,7257.31
PGR,CRYAB,7188.3
GATA6,COL5A2,7178.95
EGR1,EMX2,7143.32
IRF1,MFAP4,7132.9
PGR,CHODL,7122.32
AR,SQSTM1,7098.39
AR,COX7A1,7058.09
FOSB,COL5A2,7019.83
MITF,SYNPO2,7003.38
FOSB,COL6A2,6970.79
GATA6,MATN2,6955.79
EGR1,COL1A1,6951.66
MEIS2,FBXO32,6947.8
PGR,COX7A1,6936.77
MAF,HOXA10,6929.45
PGR,FOSB,6909.82
JUN,ADAM12,6909.12
PGR,MFAP2,6859.76
AR,TGFB1I1,6850.46
AR,COL1A1,6825.3
GATA6,CALD1,6794.23
PGR,TGFB1I1,6773.13
PGR,PKM,6769.21
GATA6,HOXA10,6767.98
